model,params_b,status,error,benchmark_rows
JayHyeon/Qwen_0.5-MDPO_0.3_3e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.3_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-2ep_0alp_0lam,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_6e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_7e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.5_7e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.7_3e-6-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.7_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-MDPO_0.9_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_3e-6-1ep_3vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_10vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_1vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_3vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_3vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_10vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_1vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_30vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_0alp_0lam,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_10vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_1vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_30vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_3vpo_const,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.1,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.3,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-rDPO_3e-6-1ep_0vpo_const_0.1,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Josephgflowers/Cinder-Phi-2-V1-F16-gguf,2.78,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Josephgflowers/Differential-Attention-Liquid-Metal-Tinyllama,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Josephgflowers/TinyLlama-Cinder-Agent-v1,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Josephgflowers/TinyLlama-v1.1-Cinders-World,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Josephgflowers/TinyLlama_v1.1_math_code-world-test-1,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Josephgflowers/Tinyllama-STEM-Cinder-Agent-v1,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Josephgflowers/Tinyllama-r1,1.1,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Kimargin/GPT-NEO-1.3B-wiki,1.316,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
KingNish/Qwen2.5-0.5b-Test-ft,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
KingNish/Reasoning-0.5b,0.494,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
KingNish/Reasoning-Llama-3b-v0.1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
KingNish/qwen-1b-continued,1.277,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
KingNish/qwen-1b-continued-v2,1.277,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
KingNish/qwen-1b-continued-v2.1,1.277,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
KingNish/qwen-1b-continued-v2.2,1.277,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
L-RAGE/3_PRYMMAL-ECE-7B-SLERP-V1,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LEESM/llama-2-7b-hf-lora-oki100p,6.738,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LEESM/llama-2-7b-hf-lora-oki10p,6.738,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.405,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LLM4Binary/llm4decompile-1.3b-v2,1.346,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lawnakk/BBALAW1.0,4.353,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lawnakk/BBALAW1.2,4.353,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lawnakk/BBALAW1.3,4.353,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LenguajeNaturalAI/leniachat-gemma-2b-v0,2.506,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LenguajeNaturalAI/leniachat-qwen2-1.5B-v0,1.543,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V1,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LilRg/10PRYMMAL-3B-slerp,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LilRg/ECE-1B-merge-PRYMMAL,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LilRg/PRYMMAL-6B-slerp,3.293,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
LilRg/PRYMMAL-slerp-Merge,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Locutusque/TinyMistral-248M-v2.5,0.248,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lyte/Llama-3.2-1B-Instruct-COT-RL-Expriement1-EP04,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Lyte/Llama-3.2-3B-Overthinker,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
M4-ai/TinyMistral-248M-v3,0.248,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MEscriva/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,0.63,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MTSAIR/Cotype-Nano,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Marsouuu/MiniMathExpert-2_61B-ECE-PRYMMAL-Martial,2.614,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Marsouuu/MiniQwenMathExpert-ECE-PRYMMAL-Martial,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Marsouuu/general3B-ECE-PRYMMAL-Martial,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Marsouuu/lareneg1_78B-ECE-PRYMMAL-Martial,1.777,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Marsouuu/lareneg3B-ECE-PRYMMAL-Martial,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-2.1-phi3-4b,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-2.1-phi3.5-4b,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-2.2-phi3-4b,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-2.3-phi3-4b,3.821,no_samples,No samples_*.jsonl files found,{}
MaziyarPanahi/calme-3.1-baguette-3b,3.085,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-3.1-instruct-3b,3.085,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-3.1-llamaloi-3b,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-3.2-baguette-3b,3.085,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-3.2-instruct-3b,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-3.3-baguette-3b,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MaziyarPanahi/calme-3.3-instruct-3b,3.086,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
ModelCloud/Llama-3.2-1B-Instruct-gptqmodel-4bit-vortex-v1,5.453,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MoonRide/Llama-3.2-3B-Khelavaster,3.607,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Mostafa8Mehrabi/llama-3.2-1b-Insomnia-ChatBot-merged,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MrRobotoAI/MrRoboto-ProLong-8b-v4i,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MrRobotoAI/MrRoboto-ProLongBASE-pt8-unaligned-8b,4.015,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MultivexAI/Gladiator-Mini-Exp-1211-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MultivexAI/Gladiator-Mini-Exp-1221-3B-Instruct,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MultivexAI/Gladiator-Mini-Exp-1221-3B-Instruct-V2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MultivexAI/Gladiator-Mini-Exp-1222-3B-Instruct,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
MultivexAI/Phi-3.5-Mini-Instruct-MultiVex-v0.25-GGUF,3.821,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Mxode/NanoLM-0.3B-Instruct-v1,0.315,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Mxode/NanoLM-0.3B-Instruct-v1.1,0.315,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Mxode/NanoLM-0.3B-Instruct-v2,0.315,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Mxode/NanoLM-1B-Instruct-v1.1,1.076,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Mxode/NanoLM-1B-Instruct-v2,1.076,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NTQAI/NxMobileLM-1.5B-SFT,1.544,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NYTK/PULI-LlumiX-32K,6.738,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Dolphin3.0-Llama3.1-1B-abliterated,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_AquaSyn_0.1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_Dolto_0.1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_Odyssea_V1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_Odyssea_V1.01,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_OpenTree_R1_0.1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_OrcaSun_V1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_RandomLego_RP_R1_0.1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_SunOrca_V1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_Sydonia_0.1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_Syneridol_0.2,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_Synopsys_0.1,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_1b_Synopsys_0.11,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_3b_Kermes_v1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_3b_Kermes_v2,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Llama_3.2_3b_Kermes_v2.1,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Nemotron_W_4b_Halo_0.1,4.513,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Nemotron_W_4b_MagLight_0.1,4.513,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,3.085,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NikolaSigmoid/AceMath-1.5B-Instruct-1epoch,1.791,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NikolaSigmoid/AceMath-1.5B-Instruct-dolphin-r1-200,0.928,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,1.157,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NikolaSigmoid/acemath-200,1.791,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NotASI/FineTome-Llama3.2-1B-0929,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NotASI/FineTome-Llama3.2-3B-1002,3.0,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NotASI/FineTome-v1.5-Llama3.2-1B-1007,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NotASI/FineTome-v1.5-Llama3.2-3B-1007,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NousResearch/Hermes-3-Llama-3.2-3B,3.213,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
NousResearch/Nous-Hermes-llama-2-7b,6.738,no_samples,No samples_*.jsonl files found,{}
NousResearch/Yarn-Llama-2-7b-128k,7.0,no_samples,No samples_*.jsonl files found,{}
NousResearch/Yarn-Llama-2-7b-64k,7.0,no_samples,No samples_*.jsonl files found,{}
NousResearch/Yarn-Mistral-7b-128k,7.0,no_samples,No samples_*.jsonl files found,{}
NousResearch/Yarn-Mistral-7b-64k,7.0,no_samples,No samples_*.jsonl files found,{}
Novaciano/ASTAROTH-3.2-1B,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/BLAST_PROCESSING-3.2-1B,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/Cerberus-3.2-1B,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/Cultist-3.2-1B,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/FuseChat-3.2-1B-GRPO_Creative_RP,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/Fusetrix-3.2-1B-GRPO_RP_Creative,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/Fusetrix-Dolphin-3.2-1B-GRPO_Creative_RP,1.236,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/HarmfulProject-3.2-1B,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/LEWD-Mental-Cultist-3.2-1B,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/La_Mejor_Mezcla-3.2-1B,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
Novaciano/Sigil-Of-Satan-3.2-1B,1.498,ok,,"{""ifeval"": 541, ""bbh"": 5761, ""gpqa"": 1192, ""math"": 1324, ""musr"": 756}"
