model,split
vonjack/SmolLM2-1.7B-Merged,train
vonjack/SmolLM2-360M-Merged,train
wannaphong/KhanomTanLLM-Instruct,train
weathermanj/Menda-3B-500,train
weathermanj/Menda-3b-750,train
weathermanj/Menda-3b-Optim-100,train
weathermanj/Menda-3b-Optim-200,train
win10/Llama-3.2-3B-Instruct-24-9-29,train
win10/Qwen2.5-2B-Instruct,train
xMaulana/FinMatcha-3B-Instruct,train
yasserrmd/Text2SQL-1.5B,train
ylalain/ECE-PRYMMAL-YL-1B-SLERP-V8,train
ymcki/gemma-2-2b-ORPO-jpn-it-abliterated-18,train
ymcki/gemma-2-2b-ORPO-jpn-it-abliterated-18-merge,train
ymcki/gemma-2-2b-jpn-it-abliterated-17,train
ymcki/gemma-2-2b-jpn-it-abliterated-17-18-24,train
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO,train
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO-alpaca,train
ymcki/gemma-2-2b-jpn-it-abliterated-18,train
ymcki/gemma-2-2b-jpn-it-abliterated-18-ORPO,train
ymcki/gemma-2-2b-jpn-it-abliterated-24,train
yuchenxie/ArlowGPT-3B-Multilingual,train
zelk12/Test01012025155054t0.5_gemma-2,train
01-ai/Yi-1.5-6B,test
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,test
AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,test
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,test
BlackBeenie/Neos-Llama-3.1-base,test
BramVanroy/fietje-2-chat,test
BramVanroy/fietje-2-instruct,test
Daemontatox/Zirel_1.5,test
DavieLion/Llama-3.2-1B-SPIN-iter3,test
DeepMount00/Lexora-Lite-3B,test
EpistemeAI/Athena-gemma-2-2b-it,test
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,test
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,test
EpistemeAI/ReasoningCore-3B-Instruct-r01-Reflect,test
J-LAB/Thynk_orpo,test
JayHyeon/Qwen-0.5B-DPO-5epoch,test
JayHyeon/Qwen2.5-0.5B-SFT,test
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-2ep_1alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-3ep_0alp_0lam,test
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,test
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,test
JayHyeon/Qwen_0.5-IPO_5e-7-1ep_0alp_0lam,test
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-1ep_0alp_0lam,test
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,test
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,test
LEESM/llama-2-7b-hf-lora-oki10p,test
LilRg/10PRYMMAL-3B-slerp,test
Nexesenex/Llama_3.2_1b_AquaSyn_0.11,test
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,test
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,test
NotASI/FineTome-v1.5-Llama3.2-1B-1007,test
NousResearch/Hermes-3-Llama-3.2-3B,test
Novaciano/ASTAROTH-3.2-1B,test
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,test
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,test
Qwen/Qwen2.5-3B-Instruct,test
RezVortex/Jajuka-3b,test
Sakalti/Sailor-japanese,test
Sakalti/Saka-1.5B,test
Sakalti/tara-3.8B,test
SultanR/SmolTulu-1.7b-Reinforced,test
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,test
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,test
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,test
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,test
Xiaojian9992024/Llama3.2-1B-THREADRIPPER-v0.2,test
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,test
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,test
akhadangi/Llama3.2.1B.0.1-Last,test
allenai/OLMo-7B-Instruct-hf,test
anakin87/gemma-2b-orpo,test
arcee-ai/raspberry-3B,test
awnr/Mistral-7B-v0.1-signtensors-1-over-4,test
bamec66557/VICIOUS_MESH-12B,test
bunnycore/Llama-3.2-3B-Della,test
bunnycore/QwQen-3B-LCoT,test
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,test
bunnycore/Smol-Llama-3.2-3B,test
carsenk/phi3.5_mini_exp_825_uncensored,test
cjvt/GaMS-1B,test
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,test
dwikitheduck/gemma-2-2b-id-inst,test
dwikitheduck/gemma-2-2b-id-instruct,test
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,test
godlikehhd/alpaca_data_ifd_min_2600,test
godlikehhd/alpaca_data_score_max_0.3_2600,test
godlikehhd/alpaca_data_score_max_2500,test
google/flan-t5-base,test
hotmailuser/QwenSlerp2-3B,test
iFaz/llama31_8B_en_emo_v4,test
ibm-granite/granite-3.1-2b-base,test
jaspionjader/test-11,test
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,test
macadeliccc/magistrate-3.2-3b-base,test
microsoft/Phi-3.5-mini-instruct,test
microsoft/Phi-4-mini-instruct,test
mrdayl/OpenCognito-r1,test
mrdayl/OpenThink,test
ngxson/MiniThinky-1B-Llama-3.2,test
noname0202/llama-math-1b-r32-0to512tokens-test,test
nvidia/Hymba-1.5B-Base,test
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_stories.no_issue,test
ontocord/wide_3b_sft_stage1.2-ss1-expert_fictional_lyrical,test
oopere/pruned20-llama-1b,test
openbmb/MiniCPM-S-1B-sft-llama-format,test
pankajmathur/orca_mini_v9_6_3B-Instruct,test
princeton-nlp/Sheared-LLaMA-2.7B,test
prithivMLmods/Llama-3.2-3B-Math-Oct,test
prithivMLmods/Llama-Deepsync-3B,test
qingy2019/LLaMa_3.2_3B_Catalysts,test
rombodawg/Rombos-LLM-V2.5-Qwen-1.5b,test
ruizhe1217/sft-s1-qwen-0.5b,test
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,test
sumink/bbhqwen3,test
tangledgroup/tangled-llama-pints-1.5b-v0.1-instruct,test
tinycompany/ShawtyIsBad-bgem3,test
vhab10/Llama-3.2-Instruct-3B-TIES,test
yasserrmd/Coder-GRPO-3B,test
zake7749/gemma-2-2b-it-chinese-kyara-dpo,test
zelk12/Test01012025155054,test
